INFO 2026-03-31 16:34:32,974 services 21264 3432 Created goods receipt NK202601150001 from supplier NCC001
INFO 2026-03-31 16:34:32,993 services 21264 3432 Created goods receipt NK202601150001 from supplier NCC001
INFO 2026-03-31 16:34:33,016 services 21264 3432 Created goods receipt NK202601150001 from supplier NCC001
INFO 2026-03-31 16:34:33,032 services 21264 3432 Created goods issue XK202601150001 from warehouse KHO001
INFO 2026-03-31 16:34:33,048 services 21264 3432 Created goods issue XK202601150001 from warehouse KHO001
INFO 2026-03-31 16:36:49,962 services 21420 9880 Created journal entry BT202601150001 with 2 lines
INFO 2026-03-31 16:36:49,998 services 21420 9880 Created journal entry BT-CUSTOM-001 with 2 lines
INFO 2026-03-31 16:36:50,014 services 21420 9880 Created journal entry BT202601150001 with 3 lines
INFO 2026-03-31 16:36:50,040 services 21420 9880 Created invoice HD202601150001 for customer KH001
INFO 2026-03-31 16:36:50,057 services 21420 9880 Created invoice HD202601150001 for customer KH001
INFO 2026-03-31 16:36:50,081 services 21420 9880 Created invoice HD202601150001 for customer KH001
INFO 2026-03-31 16:36:50,100 services 21420 9880 Created invoice HD202601150001 for customer KH001
INFO 2026-03-31 16:36:50,114 services 21420 9880 Created goods receipt NK202601150001 from supplier NCC001
INFO 2026-03-31 16:36:50,130 services 21420 9880 Created goods receipt NK202601150001 from supplier NCC001
INFO 2026-03-31 16:36:50,157 services 21420 9880 Created goods receipt NK202601150001 from supplier NCC001
INFO 2026-03-31 16:36:50,172 services 21420 9880 Created goods issue XK202601150001 from warehouse KHO001
INFO 2026-03-31 16:36:50,185 services 21420 9880 Created goods issue XK202601150001 from warehouse KHO001
INFO 2026-03-31 16:37:59,558 services 18204 10044 Created journal entry BT202601150001 with 2 lines
INFO 2026-03-31 16:37:59,597 services 18204 10044 Created journal entry BT-CUSTOM-001 with 2 lines
INFO 2026-03-31 16:37:59,612 services 18204 10044 Created journal entry BT202601150001 with 3 lines
INFO 2026-03-31 16:37:59,642 services 18204 10044 Created invoice HD202601150001 for customer KH001
INFO 2026-03-31 16:37:59,660 services 18204 10044 Created invoice HD202601150001 for customer KH001
INFO 2026-03-31 16:37:59,684 services 18204 10044 Created invoice HD202601150001 for customer KH001
INFO 2026-03-31 16:37:59,705 services 18204 10044 Created invoice HD202601150001 for customer KH001
INFO 2026-03-31 16:37:59,720 services 18204 10044 Created goods receipt NK202601150001 from supplier NCC001
INFO 2026-03-31 16:37:59,737 services 18204 10044 Created goods receipt NK202601150001 from supplier NCC001
INFO 2026-03-31 16:37:59,761 services 18204 10044 Created goods receipt NK202601150001 from supplier NCC001
INFO 2026-03-31 16:37:59,779 services 18204 10044 Created goods issue XK202601150001 from warehouse KHO001
INFO 2026-03-31 16:37:59,794 services 18204 10044 Created goods issue XK202601150001 from warehouse KHO001
INFO 2026-03-31 16:38:27,581 services 15580 16628 Created journal entry BT202601150001 with 2 lines
INFO 2026-03-31 16:38:27,616 services 15580 16628 Created journal entry BT-CUSTOM-001 with 2 lines
INFO 2026-03-31 16:38:27,630 services 15580 16628 Created journal entry BT202601150001 with 3 lines
INFO 2026-03-31 16:38:27,653 services 15580 16628 Created invoice HD202601150001 for customer KH001
INFO 2026-03-31 16:38:27,670 services 15580 16628 Created invoice HD202601150001 for customer KH001
INFO 2026-03-31 16:38:27,692 services 15580 16628 Created invoice HD202601150001 for customer KH001
INFO 2026-03-31 16:38:27,710 services 15580 16628 Created invoice HD202601150001 for customer KH001
INFO 2026-03-31 16:38:27,724 services 15580 16628 Created goods receipt NK202601150001 from supplier NCC001
INFO 2026-03-31 16:38:27,739 services 15580 16628 Created goods receipt NK202601150001 from supplier NCC001
INFO 2026-03-31 16:38:27,762 services 15580 16628 Created goods receipt NK202601150001 from supplier NCC001
INFO 2026-03-31 16:38:27,779 services 15580 16628 Created goods issue XK202601150001 from warehouse KHO001
INFO 2026-03-31 16:38:27,792 services 15580 16628 Created goods issue XK202601150001 from warehouse KHO001
INFO 2026-04-01 08:53:12,315 signals 10072 14256 Signal triggered: KhoLot 1 modified, recalculating from 2026-01-01
INFO 2026-04-01 08:53:12,336 signals 10072 14256 Signal triggered: KhoEntry 1 modified, recalculating from 2026-01-01
INFO 2026-04-01 08:53:12,340 signals 10072 14256 Signal triggered: KhoEntry 1 modified, recalculating from 2026-01-01
INFO 2026-04-01 08:53:12,346 signals 10072 14256 Signal triggered: KhoEntry 1 modified, recalculating from 2026-01-01
INFO 2026-04-01 08:53:12,350 signals 10072 14256 Signal triggered: KhoEntry 1 modified, recalculating from 2026-01-01
INFO 2026-04-01 08:53:12,358 signals 10072 14256 Signal triggered: KhoEntry 1 modified, recalculating from 2026-01-01
INFO 2026-04-01 08:53:12,366 signals 10072 14256 Signal triggered: KhoEntry 1 modified, recalculating from 2026-01-01
INFO 2026-04-01 08:53:12,373 signals 10072 14256 Signal triggered: KhoEntry 1 modified, recalculating from 2026-01-01
INFO 2026-04-01 08:53:12,379 signals 10072 14256 Signal triggered: KhoEntry 1 modified, recalculating from 2026-01-01
INFO 2026-04-01 08:53:12,384 signals 10072 14256 Signal triggered: KhoEntry 1 modified, recalculating from 2026-01-01
INFO 2026-04-01 08:53:12,394 signals 10072 14256 Signal triggered: KhoEntry 1 modified, recalculating from 2026-01-01
INFO 2026-04-01 08:53:12,398 signals 10072 14256 Signal triggered: KhoEntry 1 modified, recalculating from 2026-01-01
INFO 2026-04-01 08:53:12,404 signals 10072 14256 Signal triggered: KhoEntry 1 modified, recalculating from 2026-01-01
INFO 2026-04-01 08:53:12,410 signals 10072 14256 Signal triggered: KhoEntry 1 modified, recalculating from 2026-01-01
INFO 2026-04-01 08:53:12,415 signals 10072 14256 Signal triggered: KhoEntry 1 modified, recalculating from 2026-01-01
INFO 2026-04-01 08:53:12,420 signals 10072 14256 Signal triggered: KhoEntry 1 modified, recalculating from 2026-01-01
INFO 2026-04-01 08:53:12,429 signals 10072 14256 Signal triggered: KhoEntry 1 modified, recalculating from 2026-01-01
INFO 2026-04-01 08:53:12,435 signals 10072 14256 Signal triggered: KhoEntry 1 modified, recalculating from 2026-01-01
INFO 2026-04-01 08:53:12,445 signals 10072 14256 Signal triggered: KhoEntry 1 modified, recalculating from 2026-01-01
INFO 2026-04-01 08:53:12,455 signals 10072 14256 Signal triggered: KhoEntry 1 modified, recalculating from 2026-01-01
INFO 2026-04-01 08:53:12,460 signals 10072 14256 Signal triggered: KhoEntry 1 modified, recalculating from 2026-01-01
INFO 2026-04-01 08:53:12,464 signals 10072 14256 Signal triggered: KhoEntry 1 modified, recalculating from 2026-01-01
INFO 2026-04-01 08:53:12,473 signals 10072 14256 Signal triggered: KhoEntry 1 modified, recalculating from 2026-01-01
INFO 2026-04-01 08:53:12,477 signals 10072 14256 Signal triggered: KhoEntry 1 modified, recalculating from 2026-01-01
INFO 2026-04-01 08:53:12,484 signals 10072 14256 Signal triggered: KhoEntry 1 modified, recalculating from 2026-01-01
INFO 2026-04-01 08:53:12,490 signals 10072 14256 Signal triggered: KhoEntry 1 modified, recalculating from 2026-01-01
INFO 2026-04-01 08:53:12,495 signals 10072 14256 Signal triggered: KhoEntry 1 modified, recalculating from 2026-01-01
INFO 2026-04-01 08:53:12,504 signals 10072 14256 Signal triggered: KhoEntry 1 modified, recalculating from 2026-01-01
INFO 2026-04-01 08:53:12,510 signals 10072 14256 Signal triggered: KhoEntry 1 modified, recalculating from 2026-01-01
INFO 2026-04-01 08:53:12,514 signals 10072 14256 Signal triggered: KhoEntry 1 modified, recalculating from 2026-01-01
INFO 2026-04-01 08:53:12,524 signals 10072 14256 Signal triggered: KhoEntry 1 modified, recalculating from 2026-01-01
INFO 2026-04-01 08:53:12,530 signals 10072 14256 Signal triggered: KhoEntry 1 modified, recalculating from 2026-01-01
INFO 2026-04-01 08:53:12,537 signals 10072 14256 Signal triggered: KhoEntry 1 modified, recalculating from 2026-01-01
INFO 2026-04-01 08:53:12,542 signals 10072 14256 Signal triggered: KhoEntry 1 modified, recalculating from 2026-01-01
INFO 2026-04-01 08:53:12,546 signals 10072 14256 Signal triggered: KhoEntry 1 modified, recalculating from 2026-01-01
INFO 2026-04-01 08:53:12,553 signals 10072 14256 Signal triggered: KhoEntry 1 modified, recalculating from 2026-01-01
INFO 2026-04-01 08:53:12,557 signals 10072 14256 Signal triggered: KhoEntry 1 modified, recalculating from 2026-01-01
INFO 2026-04-01 08:53:12,561 signals 10072 14256 Signal triggered: KhoEntry 1 modified, recalculating from 2026-01-01
INFO 2026-04-01 08:53:12,567 signals 10072 14256 Signal triggered: KhoEntry 1 modified, recalculating from 2026-01-01
INFO 2026-04-01 08:53:12,573 signals 10072 14256 Signal triggered: KhoEntry 1 modified, recalculating from 2026-01-01
INFO 2026-04-01 08:53:12,577 signals 10072 14256 Signal triggered: KhoEntry 1 modified, recalculating from 2026-01-01
INFO 2026-04-01 08:53:12,582 signals 10072 14256 Signal triggered: KhoEntry 1 modified, recalculating from 2026-01-01
INFO 2026-04-01 08:53:12,590 signals 10072 14256 Signal triggered: KhoEntry 1 modified, recalculating from 2026-01-01
INFO 2026-04-01 08:53:12,595 signals 10072 14256 Signal triggered: KhoEntry 1 modified, recalculating from 2026-01-01
INFO 2026-04-01 08:53:12,601 signals 10072 14256 Signal triggered: KhoEntry 1 modified, recalculating from 2026-01-01
INFO 2026-04-01 08:53:12,606 signals 10072 14256 Signal triggered: KhoEntry 1 modified, recalculating from 2026-01-01
INFO 2026-04-01 08:53:12,611 signals 10072 14256 Signal triggered: KhoEntry 1 modified, recalculating from 2026-01-01
INFO 2026-04-01 08:53:12,615 signals 10072 14256 Signal triggered: KhoEntry 1 modified, recalculating from 2026-01-01
INFO 2026-04-01 08:53:12,623 signals 10072 14256 Signal triggered: KhoEntry 1 modified, recalculating from 2026-01-01
INFO 2026-04-01 08:53:12,627 signals 10072 14256 Signal triggered: KhoEntry 1 modified, recalculating from 2026-01-01
INFO 2026-04-01 08:53:12,631 signals 10072 14256 Signal triggered: KhoEntry 1 modified, recalculating from 2026-01-01
INFO 2026-04-01 08:53:12,639 signals 10072 14256 Signal triggered: KhoEntry 1 modified, recalculating from 2026-01-01
INFO 2026-04-01 08:53:12,643 signals 10072 14256 Signal triggered: KhoEntry 1 modified, recalculating from 2026-01-01
INFO 2026-04-01 08:53:12,647 signals 10072 14256 Signal triggered: KhoEntry 1 modified, recalculating from 2026-01-01
INFO 2026-04-01 08:53:12,654 signals 10072 14256 Signal triggered: KhoEntry 1 modified, recalculating from 2026-01-01
INFO 2026-04-01 08:53:12,661 signals 10072 14256 Signal triggered: KhoEntry 1 modified, recalculating from 2026-01-01
INFO 2026-04-01 08:53:12,668 signals 10072 14256 Signal triggered: KhoEntry 1 modified, recalculating from 2026-01-01
INFO 2026-04-01 08:53:12,674 signals 10072 14256 Signal triggered: KhoEntry 1 modified, recalculating from 2026-01-01
INFO 2026-04-01 08:53:12,678 signals 10072 14256 Signal triggered: KhoEntry 1 modified, recalculating from 2026-01-01
INFO 2026-04-01 08:53:12,686 signals 10072 14256 Signal triggered: KhoEntry 1 modified, recalculating from 2026-01-01
INFO 2026-04-01 08:53:12,691 signals 10072 14256 Signal triggered: KhoEntry 1 modified, recalculating from 2026-01-01
INFO 2026-04-01 08:53:12,696 signals 10072 14256 Signal triggered: KhoEntry 1 modified, recalculating from 2026-01-01
INFO 2026-04-01 08:53:12,703 signals 10072 14256 Signal triggered: KhoEntry 1 modified, recalculating from 2026-01-01
INFO 2026-04-01 08:53:12,708 signals 10072 14256 Signal triggered: KhoEntry 1 modified, recalculating from 2026-01-01
INFO 2026-04-01 08:53:12,713 signals 10072 14256 Signal triggered: KhoEntry 1 modified, recalculating from 2026-01-01
INFO 2026-04-01 08:53:12,720 signals 10072 14256 Signal triggered: KhoEntry 1 modified, recalculating from 2026-01-01
INFO 2026-04-01 08:53:12,725 signals 10072 14256 Signal triggered: KhoEntry 1 modified, recalculating from 2026-01-01
INFO 2026-04-01 08:53:12,736 signals 10072 14256 Signal triggered: KhoEntry 1 modified, recalculating from 2026-01-01
INFO 2026-04-01 08:53:12,742 signals 10072 14256 Signal triggered: KhoEntry 1 modified, recalculating from 2026-01-01
INFO 2026-04-01 08:53:12,746 signals 10072 14256 Signal triggered: KhoEntry 1 modified, recalculating from 2026-01-01
INFO 2026-04-01 08:53:12,752 signals 10072 14256 Signal triggered: KhoEntry 1 modified, recalculating from 2026-01-01
INFO 2026-04-01 08:53:12,757 signals 10072 14256 Signal triggered: KhoEntry 1 modified, recalculating from 2026-01-01
INFO 2026-04-01 08:53:12,762 signals 10072 14256 Signal triggered: KhoEntry 1 modified, recalculating from 2026-01-01
INFO 2026-04-01 08:53:12,769 signals 10072 14256 Signal triggered: KhoEntry 1 modified, recalculating from 2026-01-01
INFO 2026-04-01 08:53:12,774 signals 10072 14256 Signal triggered: KhoEntry 1 modified, recalculating from 2026-01-01
INFO 2026-04-01 08:53:12,779 signals 10072 14256 Signal triggered: KhoEntry 1 modified, recalculating from 2026-01-01
INFO 2026-04-01 08:53:12,786 signals 10072 14256 Signal triggered: KhoEntry 1 modified, recalculating from 2026-01-01
INFO 2026-04-01 08:53:12,791 signals 10072 14256 Signal triggered: KhoEntry 1 modified, recalculating from 2026-01-01
INFO 2026-04-01 08:53:12,796 signals 10072 14256 Signal triggered: KhoEntry 1 modified, recalculating from 2026-01-01
INFO 2026-04-01 08:53:12,804 signals 10072 14256 Signal triggered: KhoEntry 1 modified, recalculating from 2026-01-01
INFO 2026-04-01 08:53:12,809 signals 10072 14256 Signal triggered: KhoEntry 1 modified, recalculating from 2026-01-01
